frame_tooltip,,,x_tooltip,y_tooltip,
234.0,Vitrector_tooltip,0,721,500,0.67452276
236.0,Vitrector_tooltip,0,722,502,0.4813436
236.0,Vitrector_tooltip,0,724,504,0.30910707
238.0,Vitrector_tooltip,0,730,506,0.3550851
240.0,Vitrector_tooltip,0,730,506,0.4635775
242.0,Vitrector_tooltip,0,730,506,0.5433669
244.0,Vitrector_tooltip,0,731,505,0.64187014
248.0,Vitrector_tooltip,0,731,505,0.6108287
250.0,Vitrector_tooltip,0,733,503,0.6566395
252.0,Vitrector_tooltip,0,733,501,0.7135026
252.0,Vitrector_tooltip,0,739,493,0.47940773
254.0,Vitrector_tooltip,0,739,492,0.65633595
256.0,Vitrector_tooltip,0,738,488,0.8832342
258.0,Vitrector_tooltip,0,740,485,0.95132977
262.0,Vitrector_tooltip,0,739,482,0.92396307
264.0,Vitrector_tooltip,0,740,482,0.8809384
266.0,Vitrector_tooltip,0,723,476,0.14885272
266.0,Vitrector_tooltip,0,738,480,0.6950825
268.0,Vitrector_tooltip,0,724,475,0.36999124
268.0,Vitrector_tooltip,0,734,476,0.66196525
268.0,Vitrector_tooltip,0,734,477,0.63333565
270.0,Vitrector_tooltip,0,723,478,0.4555474
274.0,Vitrector_tooltip,0,719,479,0.7953702
276.0,Vitrector_tooltip,0,716,480,0.86704624
278.0,Vitrector_tooltip,0,718,478,0.7573204
278.0,Vitrector_tooltip,0,718,477,0.8566317
280.0,Vitrector_tooltip,0,717,476,0.91254926
284.0,Vitrector_tooltip,0,718,474,0.9348411
286.0,Vitrector_tooltip,0,717,474,0.94945395
288.0,Vitrector_tooltip,0,715,473,0.9393151
288.0,Vitrector_tooltip,0,716,473,0.93210113
290.0,Vitrector_tooltip,0,713,475,0.9148755
294.0,Vitrector_tooltip,0,711,475,0.88984764
296.0,Vitrector_tooltip,0,708,475,0.865773
298.0,Vitrector_tooltip,0,710,469,0.97811776
300.0,Vitrector_tooltip,0,710,468,0.97065365
300.0,Vitrector_tooltip,0,710,466,0.96868795
304.0,Vitrector_tooltip,0,710,465,0.95026106
304.0,Vitrector_tooltip,0,1003,455,0.10137148
304.0,Vitrector_tooltip,0,709,465,0.93915504
306.0,Vitrector_tooltip,0,709,465,0.9365478
308.0,Vitrector_tooltip,0,709,465,0.92735773
312.0,Vitrector_tooltip,0,710,465,0.9063519
314.0,Vitrector_tooltip,0,710,463,0.77567923
314.0,Vitrector_tooltip,0,712,460,0.7741752
316.0,Vitrector_tooltip,0,713,460,0.7908846
320.0,Vitrector_tooltip,0,714,460,0.8366366
320.0,Vitrector_tooltip,0,719,460,0.93132055
322.0,Vitrector_tooltip,0,1080,447,0.20351118
322.0,Vitrector_tooltip,0,721,459,0.87621945
326.0,Vitrector_tooltip,0,1079,446,0.16802053
326.0,Vitrector_tooltip,0,724,458,0.81872386
328.0,Vitrector_tooltip,0,1058,443,0.122708045
328.0,Vitrector_tooltip,0,1076,450,0.15983443
328.0,Vitrector_tooltip,0,724,456,0.8386915
330.0,Vitrector_tooltip,0,1057,442,0.13147773
330.0,Vitrector_tooltip,0,726,454,0.75772595
330.0,Vitrector_tooltip,0,1055,440,0.116982736
330.0,Vitrector_tooltip,0,731,453,0.6688056
332.0,Vitrector_tooltip,0,734,452,0.84516776
336.0,Vitrector_tooltip,0,735,451,0.8945775
338.0,Vitrector_tooltip,0,736,450,0.880906
338.0,Vitrector_tooltip,0,735,449,0.8736824
340.0,Vitrector_tooltip,0,742,449,0.892403
342.0,Vitrector_tooltip,0,745,448,0.87706435
344.0,Vitrector_tooltip,0,754,449,0.9429917
346.0,Vitrector_tooltip,0,765,450,0.8883143
348.0,Vitrector_tooltip,0,770,452,0.96854615
350.0,Vitrector_tooltip,0,780,455,0.95286
354.0,Vitrector_tooltip,0,786,457,0.6903865
354.0,Vitrector_tooltip,0,808,459,0.8975088
356.0,Vitrector_tooltip,0,813,460,0.7215057
360.0,Vitrector_tooltip,0,831,459,0.72551554
360.0,Vitrector_tooltip,0,837,460,0.6482441
362.0,Vitrector_tooltip,0,862,460,0.34883454
364.0,Vitrector_tooltip,0,865,466,0.2612536
366.0,Vitrector_tooltip,0,910,468,0.71981883
368.0,Vitrector_tooltip,0,909,470,0.6142444
370.0,Vitrector_tooltip,0,946,469,0.30973002
370.0,Vitrector_tooltip,0,958,472,0.8500682
372.0,Vitrector_tooltip,0,970,467,0.14120379
372.0,Vitrector_tooltip,0,1012,451,0.46031663
372.0,Vitrector_tooltip,0,984,466,0.58218306
376.0,Vitrector_tooltip,0,969,451,0.17422152
376.0,Vitrector_tooltip,0,1013,453,0.8434643
376.0,Vitrector_tooltip,0,967,449,0.18851046
376.0,Vitrector_tooltip,0,1014,451,0.926796
378.0,Vitrector_tooltip,0,999,456,0.15737449
378.0,Vitrector_tooltip,0,1024,439,0.35163283
378.0,Vitrector_tooltip,0,1013,454,0.8012624
380.0,Vitrector_tooltip,0,1019,440,0.9062622
